x_coordinate,y_coordinate,time_interval_seconds
878,313,0.032
875,313,0.0169
868,313,0.0175
848,312,0.0166
797,309,0.016
730,304,0.0175
648,301,0.0165
596,299,0.0165
390,288,0.0165
350,285,0.0166
338,283,0.0165
334,283,0.016
333,283,0.0165
332,283,0.0315
329,282,0.0165
324,282,0.017
315,282,0.0168
286,278,0.0165
261,277,0.0165
246,276,0.016
243,276,0.016
243,275,0.0337
248,272,0.0165
249,271,0.016
251,271,0.0325
257,271,0.0165
263,270,0.0165
265,269,0.016
266,269,0.0164
