x_coordinate,y_coordinate,time_interval_seconds
879,553,0.032
880,553,0.0168
892,551,0.0166
902,549,0.0171
923,546,0.0163
947,542,0.0184
974,537,0.0163
996,532,0.0165
1014,528,0.0158
1025,526,0.0169
1037,524,0.017
1041,523,0.0166
1043,523,0.0169
1044,523,0.0499
1045,523,0.0167
1047,523,0.016
1049,523,0.0184
1054,523,0.0161
1059,524,0.0176
1065,524,0.0166
1073,525,0.0175
1077,526,0.017
1084,528,0.0165
1094,532,0.0166
1095,532,0.0164
1096,533,0.0171
1092,534,0.0663
1089,534,0.0196
