x_coordinate,y_coordinate,time_interval_seconds
877,467,0.0144
871,467,0.0157
863,472,0.0175
863,472,0.0
856,481,0.0154
844,495,0.016
826,512,0.0159
797,535,0.0169
760,563,0.0181
738,583,0.0158
724,597,0.017
712,610,0.0173
703,618,0.0161
690,627,0.0157
677,636,0.017
664,646,0.0164
649,656,0.0165
633,667,0.0184
625,675,0.0157
623,678,0.0168
620,681,0.0175
616,684,0.0172
614,685,0.0169
610,687,0.0168
604,692,0.0157
600,697,0.0163
600,699,0.0173
599,700,0.0679
598,702,0.015
597,702,0.0167
597,703,0.0162
597,704,0.0163
595,704,0.0329
592,704,0.0164
589,703,0.0174
585,702,0.0162
581,701,0.0157
580,701,0.017
579,701,0.0364
