x_coordinate,y_coordinate,time_interval_seconds
886,636,0.0163
884,635,0.0155
883,634,0.0158
881,631,0.0175
876,618,0.016
868,600,0.016
858,576,0.0161
844,539,0.0165
823,485,0.0166
792,422,0.016
750,331,0.0165
750,331,0.0
724,279,0.017
700,227,0.0165
674,173,0.017
655,130,0.017
655,130,0.0
649,116,0.0158
648,111,0.0165
646,108,0.0158
645,105,0.0175
643,103,0.0161
642,101,0.0159
642,98,0.017
640,97,0.0163
640,96,0.0829
639,96,0.0325
638,95,0.0164
637,93,0.0158
635,89,0.016
631,84,0.016
630,83,0.0161
629,82,0.0324
629,81,0.0846
