x_coordinate,y_coordinate,time_interval_seconds
886,548,0.015
885,548,0.0167
882,549,0.0337
878,550,0.0161
863,554,0.0162
842,559,0.0162
801,570,0.0168
775,578,0.0165
742,585,0.0164
710,589,0.016
671,594,0.0165
619,602,0.0169
595,606,0.0171
583,609,0.0166
579,609,0.0171
576,609,0.0171
575,609,0.0346
571,609,0.0326
565,609,0.0171
561,609,0.0172
555,609,0.0171
541,609,0.0169
526,610,0.017
520,611,0.0164
520,612,0.0165
519,612,0.0167
518,613,0.0166
516,613,0.0834
515,613,0.0179
512,613,0.0152
509,613,0.0154
507,613,0.0172
506,613,0.0162
505,613,0.0328
503,612,0.0158
499,611,0.0171
497,611,0.0166
495,611,0.0173
494,611,0.0173
