x_coordinate,y_coordinate,time_interval_seconds
892,156,0.0147
891,156,0.0159
889,156,0.0164
882,156,0.0158
867,156,0.0168
832,157,0.0169
809,157,0.0178
756,157,0.0165
651,157,0.0165
528,156,0.0164
416,156,0.0172
315,156,0.0162
237,156,0.0157
179,156,0.0167
132,156,0.0166
127,156,0.0161
126,156,0.0155
125,156,0.0348
124,155,0.0157
122,153,0.0167
121,151,0.0165
121,149,0.0171
120,146,0.018
119,143,0.0161
117,141,0.0172
114,139,0.0166
110,136,0.0164
108,134,0.0169
104,133,0.0157
98,130,0.0163
93,129,0.017
89,127,0.0163
81,124,0.0164
80,124,0.0175
80,123,0.0507
79,123,0.018
78,122,0.0342
76,121,0.0393
