x_coordinate,y_coordinate,time_interval_seconds
900,384,0.067
898,387,0.0159
889,398,0.017
883,408,0.0164
841,463,0.0162
814,490,0.0165
771,533,0.016
747,563,0.0166
724,596,0.017
710,617,0.017
703,631,0.0156
697,646,0.0157
693,654,0.0173
690,659,0.016
687,663,0.0163
686,670,0.0171
686,672,0.018
686,673,0.0161
685,674,0.0326
683,674,0.0176
683,675,0.016
682,675,0.0508
681,673,0.033
680,670,0.0172
679,669,0.017
678,668,0.0159
676,667,0.0174
676,666,0.0153
675,665,0.0179
675,664,0.0154
674,663,0.0164
