x_coordinate,y_coordinate,time_interval_seconds
902,693,0.032
902,689,0.0168
902,687,0.017
901,683,0.016
901,682,0.0161
901,681,0.018
901,680,0.0161
902,680,0.0815
903,678,0.0321
903,675,0.0166
905,669,0.0165
912,650,0.017
919,625,0.016
928,593,0.017
940,519,0.0169
952,417,0.0165
970,293,0.0165
980,235,0.0171
982,206,0.0165
984,191,0.0165
984,179,0.017
984,178,0.0173
984,176,0.0165
983,173,0.016
982,167,0.0166
978,152,0.0165
974,145,0.016
974,143,0.0175
973,142,0.0165
972,139,0.017
971,134,0.0178
968,126,0.0165
965,116,0.0165
963,109,0.0158
961,101,0.0166
958,93,0.0175
957,89,0.016
955,83,0.0165
954,75,0.0165
953,70,0.0165
952,69,0.0165
952,68,0.017
