x_coordinate,y_coordinate,time_interval_seconds
916,259,0.0
913,258,0.016
908,257,0.016
888,251,0.0161
869,247,0.0165
825,240,0.0165
749,231,0.0164
661,224,0.0162
557,212,0.017
557,212,0.0
514,202,0.0151
495,195,0.016
480,189,0.016
474,187,0.0161
468,186,0.0165
465,186,0.0165
452,187,0.017
437,188,0.0171
429,188,0.0171
415,187,0.0168
398,187,0.0176
383,187,0.0165
368,187,0.0159
359,187,0.0175
352,187,0.0167
351,187,0.0166
349,187,0.0334
346,187,0.017
340,187,0.0164
339,187,0.0165
337,187,0.131
336,187,0.0172
335,187,0.0498
334,187,0.017
333,187,0.0824
332,187,0.033
