x_coordinate,y_coordinate,time_interval_seconds
927,172,0.0677
927,177,0.0168
925,186,0.0163
918,214,0.0171
896,289,0.0174
878,337,0.016
860,381,0.0164
850,405,0.0172
832,448,0.0174
822,477,0.0159
819,494,0.0163
815,513,0.0164
813,522,0.0161
809,527,0.016
806,531,0.0157
805,533,0.0174
805,536,0.033
805,539,0.0172
803,553,0.0154
799,568,0.0172
797,574,0.0162
796,580,0.0166
796,582,0.0163
796,583,0.017
796,584,0.0159
796,588,0.0165
796,592,0.0162
797,598,0.0172
797,604,0.0167
797,605,0.0186
798,605,0.0325
799,605,0.0169
