x_coordinate,y_coordinate,time_interval_seconds
928,215,0.0173
929,214,0.0162
929,213,0.0164
923,211,0.0161
914,211,0.0163
884,210,0.0163
857,210,0.016
834,207,0.0167
797,199,0.0163
740,186,0.017
645,157,0.0166
563,133,0.0162
531,123,0.0162
520,119,0.0166
514,115,0.0167
511,113,0.0178
509,112,0.0177
507,112,0.0164
505,112,0.0172
504,112,0.0165
503,112,0.0163
503,113,0.0824
503,117,0.0172
503,118,0.0159
503,119,0.0167
500,121,0.0159
499,122,0.0164
497,123,0.0169
497,124,0.0176
495,124,0.0154
494,125,0.0183
