x_coordinate,y_coordinate,time_interval_seconds
925,97,0.0509
919,103,0.0161
907,114,0.0161
890,130,0.0165
849,170,0.0175
795,231,0.0166
756,275,0.0162
680,355,0.0163
660,371,0.0168
648,380,0.015
638,386,0.017
626,392,0.0161
615,399,0.0162
602,408,0.0157
591,415,0.0167
577,423,0.0167
568,427,0.0166
553,433,0.0161
541,437,0.0164
539,439,0.0168
537,440,0.0159
537,441,0.0163
534,443,0.0178
533,445,0.0165
531,449,0.0163
530,452,0.0165
529,455,0.0165
528,459,0.0161
526,462,0.016
524,463,0.0155
523,465,0.0168
522,465,0.0173
521,465,0.083
