x_coordinate,y_coordinate,time_interval_seconds
928,128,0.0636
926,128,0.0174
924,130,0.0165
919,135,0.0167
909,147,0.0163
879,175,0.0166
846,201,0.0168
819,227,0.0176
802,246,0.0164
754,306,0.0161
754,306,0.0
707,357,0.0173
646,411,0.0158
569,475,0.016
489,536,0.0166
418,590,0.0166
406,602,0.0175
401,607,0.0168
400,609,0.0164
397,611,0.0168
388,618,0.0182
379,624,0.0156
371,630,0.0161
364,636,0.0172
353,649,0.0173
345,659,0.0158
340,666,0.0167
335,671,0.0163
330,676,0.017
320,683,0.0172
313,688,0.017
309,691,0.0158
305,693,0.0164
304,694,0.0158
304,693,0.1005
304,692,0.0315
304,691,0.0166
304,690,0.0164
305,688,0.0191
