x_coordinate,y_coordinate,time_interval_seconds
932,379,0.0167
932,379,0.0
931,379,0.0165
930,378,0.0166
927,375,0.0174
921,371,0.016
916,367,0.0162
906,359,0.0175
899,353,0.016
875,336,0.0165
803,293,0.0175
725,245,0.0166
650,200,0.017
602,165,0.017
565,131,0.0166
558,125,0.0168
552,118,0.0161
545,111,0.0161
541,107,0.0164
539,105,0.018
538,105,0.015
538,104,0.0344
538,103,0.0163
537,101,0.0165
537,100,0.017
537,97,0.0164
537,96,0.0165
536,91,0.0168
536,91,0.0
536,86,0.0165
533,80,0.0158
531,75,0.016
529,72,0.016
528,70,0.016
527,69,0.016
