x_coordinate,y_coordinate,time_interval_seconds
942,201,0.0494
942,208,0.0165
939,222,0.017
935,234,0.0171
928,263,0.0165
923,287,0.0161
907,353,0.0165
891,423,0.0165
878,480,0.016
873,525,0.0165
870,557,0.016
870,585,0.0171
871,606,0.0166
872,618,0.0166
874,631,0.016
874,640,0.0184
874,643,0.0167
874,646,0.0171
874,649,0.0174
874,652,0.0161
874,653,0.0161
874,655,0.0165
874,658,0.0173
874,668,0.016
874,685,0.017
874,693,0.0157
874,698,0.017
874,699,0.0171
874,700,0.0174
874,702,0.0165
875,705,0.016
876,710,0.0171
876,711,0.016
876,712,0.017
