x_coordinate,y_coordinate,time_interval_seconds
951,223,0.0325
947,223,0.0165
934,220,0.0174
919,217,0.0159
885,213,0.0173
861,209,0.0157
852,208,0.0172
816,203,0.017
705,181,0.0171
667,170,0.0164
645,164,0.0162
640,162,0.0167
640,159,0.0324
639,157,0.0164
637,153,0.0159
637,152,0.0164
631,148,0.0177
624,146,0.019
624,146,0.0
621,145,0.0147
620,145,0.0173
618,145,0.0329
617,145,0.0157
613,145,0.0173
611,145,0.0167
610,145,0.0168
609,145,0.0814
607,143,0.0328
606,143,0.0159
605,143,0.0335
603,143,0.0168
597,142,0.0167
593,142,0.0165
592,142,0.0166
