x_coordinate,y_coordinate,time_interval_seconds
950,547,0.0173
948,546,0.0165
944,543,0.0165
942,542,0.016
936,540,0.016
928,540,0.017
917,540,0.0165
909,541,0.0165
872,547,0.0155
846,552,0.0165
805,559,0.017
783,562,0.0175
766,564,0.017
763,565,0.0165
759,566,0.0175
754,567,0.0161
738,572,0.0165
738,572,0.0
734,573,0.017
731,575,0.0164
728,576,0.0169
725,576,0.0165
722,577,0.0175
719,578,0.0165
714,580,0.0175
706,582,0.0162
701,584,0.016
700,585,0.016
698,585,0.0164
697,585,0.0165
695,585,0.0165
694,586,0.0161
693,586,0.0491
692,586,0.0165
