x_coordinate,y_coordinate,time_interval_seconds
953,701,0.0503
950,699,0.0166
946,695,0.0165
935,686,0.0173
921,676,0.016
905,663,0.0167
832,596,0.017
768,532,0.017
683,434,0.0175
663,411,0.0169
653,397,0.0165
649,392,0.0168
643,387,0.0165
640,386,0.0165
634,383,0.0169
629,381,0.016
620,377,0.0161
609,370,0.0165
605,368,0.0163
604,368,0.017
602,368,0.0165
601,368,0.017
599,368,0.0165
598,368,0.0166
597,367,0.0164
594,364,0.017
589,360,0.0165
584,358,0.0166
582,357,0.017
581,356,0.0336
580,356,0.016
579,356,0.0337
578,356,0.0513
577,356,0.0516
