x_coordinate,y_coordinate,time_interval_seconds
956,631,0.0157
954,627,0.0172
951,622,0.0166
947,612,0.0174
939,597,0.016
920,563,0.0162
908,540,0.0159
893,502,0.017
876,459,0.0166
861,420,0.0164
850,393,0.0166
850,389,0.016
849,388,0.016
853,378,0.0655
857,371,0.0155
861,368,0.017
862,368,0.0168
865,368,0.0174
868,368,0.0147
874,369,0.016
879,371,0.0177
885,374,0.0166
887,376,0.0162
888,377,0.0166
888,379,0.0162
889,382,0.0167
890,386,0.0166
890,389,0.0161
890,390,0.0483
891,391,0.017
