x_coordinate,y_coordinate,time_interval_seconds
956,322,0.0636
953,324,0.0166
945,326,0.0183
935,330,0.0155
919,334,0.0169
899,338,0.0162
871,345,0.0161
820,352,0.0178
820,352,0.0
773,360,0.0153
738,366,0.0157
658,372,0.0174
574,381,0.0169
458,393,0.0165
420,398,0.016
409,401,0.0178
406,401,0.0154
405,402,0.0173
399,404,0.0173
380,408,0.0165
363,411,0.0169
339,417,0.017
332,418,0.0162
327,420,0.0166
326,420,0.0162
323,420,0.0164
315,421,0.0165
297,423,0.0178
283,426,0.016
271,429,0.0167
263,431,0.0159
257,432,0.0164
256,432,0.0503
254,432,0.0167
251,434,0.0157
247,434,0.0158
244,435,0.0158
242,437,0.0172
241,437,0.0164
239,437,0.0168
238,437,0.016
236,437,0.017
234,437,0.0165
233,437,0.0169
231,437,0.0167
231,437,0.0
230,436,0.0155
229,436,0.0172
228,436,0.0161
226,436,0.0159
223,436,0.0168
222,436,0.0843
