x_coordinate,y_coordinate,time_interval_seconds
970,423,0.0318
968,423,0.0336
954,421,0.0156
900,417,0.0168
845,412,0.0173
759,406,0.0152
683,402,0.0155
604,400,0.0182
465,389,0.0149
367,375,0.0181
286,367,0.0167
236,364,0.0166
199,362,0.0166
189,362,0.0166
187,362,0.0174
186,362,0.0168
179,361,0.0157
167,359,0.016
155,358,0.0167
148,357,0.0165
141,356,0.0172
140,356,0.0171
139,355,0.0503
138,351,0.0164
138,350,0.0166
137,350,0.051
136,349,0.0329
135,349,0.0151
134,349,0.0158
133,348,0.0168
130,348,0.0335
126,347,0.0159
123,346,0.0165
120,345,0.0167
119,344,0.016
118,344,0.0166
118,343,0.0492
