x_coordinate,y_coordinate,time_interval_seconds
98,179,0.0496
104,177,0.016
113,177,0.0165
170,176,0.0164
252,170,0.0171
361,157,0.016
424,147,0.016
469,139,0.0166
490,134,0.0164
498,133,0.0167
506,132,0.0166
515,130,0.0165
527,130,0.0155
537,128,0.0165
549,124,0.016
562,120,0.0164
573,118,0.017
581,118,0.0164
586,116,0.016
587,116,0.0165
588,116,0.0339
589,115,0.0171
591,113,0.0175
593,112,0.0159
594,112,0.016
598,112,0.016
600,112,0.0163
606,110,0.016
613,107,0.0161
614,105,0.0161
614,104,0.0166
613,104,0.0848
