x_coordinate,y_coordinate,time_interval_seconds
972,600,0.0677
962,600,0.0686
955,601,0.0161
953,602,0.0167
952,602,0.0169
947,604,0.0336
939,604,0.0156
930,604,0.0159
919,604,0.016
905,604,0.0171
888,604,0.0167
862,602,0.0173
836,598,0.0157
814,596,0.0173
799,596,0.0166
796,596,0.0171
795,596,0.0343
793,596,0.0157
791,595,0.0163
790,595,0.0168
789,595,0.0323
785,595,0.0167
775,594,0.0165
775,594,0.0
767,594,0.0167
758,593,0.0168
752,593,0.0167
742,591,0.0175
732,588,0.015
726,586,0.0169
724,585,0.0173
726,585,0.0981
726,586,0.0171
730,586,0.0217
