x_coordinate,y_coordinate,time_interval_seconds
973,703,0.0331
972,701,0.016
971,697,0.0165
968,692,0.0161
964,686,0.0167
954,674,0.0159
922,643,0.0162
877,606,0.0165
813,553,0.016
725,489,0.0168
644,435,0.0166
558,369,0.0175
558,369,0.0
518,335,0.0145
493,311,0.017
472,290,0.0166
462,278,0.0164
454,265,0.0161
443,246,0.0165
432,230,0.016
428,222,0.016
425,216,0.0165
423,212,0.016
419,206,0.0166
415,202,0.0177
409,195,0.0165
399,183,0.0166
391,174,0.0161
361,146,0.0165
344,133,0.0166
329,124,0.0165
317,118,0.0165
315,117,0.0166
315,116,0.0499
314,116,0.0157
310,112,0.0161
309,112,0.016
308,111,0.0166
307,111,0.017
307,110,0.0175
306,109,0.017
303,106,0.0165
302,105,0.0175
300,104,0.016
299,102,0.0169
295,98,0.0162
294,98,0.0168
293,97,0.0165
