x_coordinate,y_coordinate,time_interval_seconds
975,188,0.0967
960,188,0.016
910,205,0.0171
872,221,0.016
832,242,0.0165
778,270,0.0175
699,316,0.0164
661,340,0.0158
630,361,0.0165
589,379,0.017
556,397,0.017
501,418,0.0161
474,427,0.0171
457,434,0.0166
447,435,0.0165
442,437,0.0157
435,442,0.0161
410,455,0.016
386,465,0.0161
345,479,0.0176
326,484,0.0164
310,489,0.016
302,493,0.0165
301,496,0.0171
300,499,0.0174
297,506,0.0168
287,518,0.0168
275,528,0.017
266,536,0.017
260,540,0.0165
257,541,0.016
256,543,0.0666
254,544,0.0167
254,545,0.016
253,546,0.0511
251,546,0.0172
