x_coordinate,y_coordinate,time_interval_seconds
979,720,0.0
978,720,0.0649
968,720,0.017
952,721,0.016
923,727,0.0163
906,728,0.0158
876,728,0.0163
844,727,0.0172
793,722,0.0187
793,722,0.0
755,717,0.0166
693,710,0.0163
644,708,0.0166
612,708,0.0158
592,708,0.0167
586,708,0.0163
581,708,0.0171
579,708,0.0152
577,709,0.0157
574,709,0.0165
568,710,0.0157
564,711,0.0171
563,711,0.0161
562,712,0.0159
559,712,0.0159
557,712,0.0169
554,715,0.0184
554,715,0.0
553,715,0.0143
552,718,0.0165
552,719,0.0335
552,720,0.0161
551,721,0.0162
551,722,0.0174
551,725,0.0156
551,726,0.017
551,727,0.0168
