x_coordinate,y_coordinate,time_interval_seconds
980,169,0.0346
978,169,0.05
970,174,0.0166
960,183,0.0161
948,194,0.0164
933,209,0.0164
910,229,0.0161
890,246,0.0165
820,301,0.0173
787,331,0.016
771,345,0.0159
759,357,0.0165
757,360,0.0165
755,364,0.0169
753,366,0.016
750,371,0.0165
747,375,0.0166
742,383,0.017
741,384,0.0161
739,386,0.0165
737,387,0.0176
735,389,0.0162
732,392,0.0163
732,392,0.0
729,397,0.0171
728,398,0.0161
723,404,0.0161
719,407,0.016
717,408,0.0164
716,409,0.0165
715,409,0.016
715,410,0.0496
714,410,0.0171
713,410,0.0655
712,410,0.0159
711,412,0.0161
709,415,0.016
706,418,0.0165
704,420,0.0175
701,422,0.016
700,422,0.0166
