x_coordinate,y_coordinate,time_interval_seconds
982,56,0.0
982,61,0.0138
982,64,0.0168
982,71,0.0163
982,81,0.0163
977,96,0.0168
971,120,0.0162
958,185,0.0165
948,247,0.0159
938,296,0.0172
930,338,0.0151
925,374,0.0159
922,399,0.016
919,438,0.0171
917,455,0.0168
916,465,0.016
914,477,0.0174
911,490,0.0154
906,509,0.0175
900,523,0.0159
894,531,0.0168
888,541,0.0174
872,561,0.0171
863,574,0.0166
857,585,0.0165
851,596,0.0163
848,602,0.0168
847,606,0.0168
846,608,0.0169
846,609,0.0159
845,610,0.064
844,612,0.0158
843,616,0.0176
840,620,0.0178
832,630,0.0155
825,637,0.0164
822,643,0.017
820,644,0.0161
821,644,0.1161
824,643,0.0367
