x_coordinate,y_coordinate,time_interval_seconds
985,467,0.0159
982,464,0.0174
972,458,0.0172
958,453,0.0166
900,438,0.0165
821,424,0.0165
726,410,0.0178
624,397,0.0179
526,374,0.0161
483,359,0.0159
447,346,0.0161
419,335,0.0162
411,331,0.0167
410,330,0.0159
405,329,0.018
400,328,0.0152
399,327,0.0162
398,326,0.05
397,325,0.0162
394,322,0.0165
391,320,0.0161
390,318,0.0154
389,316,0.0176
387,313,0.0163
385,311,0.0177
382,306,0.0157
379,302,0.0182
377,299,0.016
376,298,0.0661
