x_coordinate,y_coordinate,time_interval_seconds
984,352,0.0336
982,350,0.0165
973,349,0.017
956,347,0.0171
915,346,0.0165
817,342,0.0158
629,332,0.0171
502,317,0.0167
426,305,0.017
372,292,0.016
353,287,0.0163
347,285,0.0159
345,284,0.0166
344,283,0.017
341,282,0.017
332,280,0.0171
329,279,0.0175
328,279,0.016
325,278,0.0165
322,278,0.0165
313,279,0.0165
300,283,0.016
286,287,0.016
274,288,0.0161
265,290,0.0166
253,290,0.016
246,290,0.0161
245,290,0.016
245,291,0.0161
