x_coordinate,y_coordinate,time_interval_seconds
993,422,0.0
992,421,0.0679
992,419,0.016
992,418,0.0166
992,417,0.016
990,413,0.049
985,409,0.0166
974,396,0.0166
966,388,0.0176
958,379,0.0158
947,368,0.016
926,345,0.016
874,274,0.0159
845,228,0.016
829,194,0.0173
816,170,0.0164
809,159,0.0176
805,149,0.0157
802,144,0.0159
799,137,0.0163
795,129,0.0161
793,125,0.0167
792,124,0.0164
791,124,0.0176
787,122,0.049
782,119,0.0177
779,116,0.0169
774,112,0.0176
772,109,0.0157
764,98,0.0163
756,88,0.0169
753,83,0.0167
752,81,0.0162
752,80,0.0328
