x_coordinate,y_coordinate,time_interval_seconds
1000,601,0.0155
1001,601,0.0155
1002,601,0.0169
1003,601,0.0175
1003,600,0.0492
1000,597,0.017
992,589,0.016
981,581,0.016
953,559,0.0165
924,537,0.017
868,494,0.0159
813,455,0.0163
767,424,0.0163
727,398,0.0169
711,387,0.0165
702,379,0.0175
695,374,0.0159
691,371,0.017
688,367,0.0171
685,363,0.016
681,359,0.0165
668,342,0.0162
660,333,0.016
647,322,0.0168
641,317,0.0165
637,312,0.0158
633,306,0.016
628,299,0.0165
624,295,0.016
622,290,0.0177
621,288,0.0175
621,286,0.016
621,285,0.0159
